
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
4.81522471e-01, 5.49702883e-01, 4.99999989e-03, -4.74222116e-02, -1.82780758e-01, 9.42124873e-02
4.71431524e-01, 5.49479902e-01, 4.99999989e-03, -4.67447340e-02, -1.78865179e-01, 1.02821358e-01
4.91557747e-01, 5.49868047e-01, 4.99999989e-03, -4.80281152e-02, -1.86663657e-01, 8.52170736e-02
5.01516044e-01, 5.49988568e-01, 4.99999989e-03, -4.85632122e-02, -1.90506995e-01, 7.58268237e-02
5.11511266e-01, 5.50133586e-01, 4.99999989e-03, -4.90280427e-02, -1.94293171e-01, 6.60542846e-02
5.21381319e-01, 5.50275922e-01, 4.99999989e-03, -4.94178385e-02, -1.98012903e-01, 5.59054725e-02
4.61283654e-01, 5.49200952e-01, 4.99999989e-03, -4.60005216e-02, -1.74911529e-01, 1.11051396e-01
5.18476188e-01, 4.50307965e-01, 4.99999989e-03, -2.43906081e-02, -2.17844516e-01, 2.34865695e-02
5.28561056e-01, 4.50523406e-01, 4.99999989e-03, -2.42938288e-02, -2.20770419e-01, 1.44040203e-02
5.38710654e-01, 4.50793833e-01, 4.99999989e-03, -2.41443720e-02, -2.23481238e-01, 5.00832219e-03
5.50438702e-01, 5.31371236e-01, 4.99999989e-03, -4.45207059e-02, -2.17394337e-01, 1.69839002e-02
5.50311446e-01, 5.21485150e-01, 4.99999989e-03, -4.17485051e-02, -2.20798254e-01, 1.38146393e-02
5.50578892e-01, 5.41136265e-01, 4.99999989e-03, -4.73102406e-02, -2.13321313e-01, 2.01735515e-02
5.41113734e-01, 5.50662816e-01, 4.99999989e-03, -4.99601625e-02, -2.05156058e-01, 3.45569961e-02
5.31307280e-01, 5.50423384e-01, 4.99999989e-03, -4.97309864e-02, -2.01639414e-01, 4.54004779e-02
5.50158560e-01, 5.11554599e-01, 4.99999989e-03, -3.90085280e-02, -2.23513424e-01, 1.07403081e-02
5.50019264e-01, 5.01695991e-01, 4.99999989e-03, -3.63309197e-02, -2.25548074e-01, 7.76850246e-03
5.49902499e-01, 4.91731524e-01, 4.99999989e-03, -3.37093510e-02, -2.26913631e-01, 4.92369058e-03
5.49705565e-01, 4.81679618e-01, 4.99999989e-03, -3.11489422e-02, -2.27618337e-01, 2.24441756e-03
5.49196601e-01, 4.61319506e-01, 4.99999989e-03, -2.62428522e-02, -2.27109373e-01, -2.55959807e-03
5.49480379e-01, 4.71550584e-01, 4.99999989e-03, -2.86505874e-02, -2.27676630e-01, -2.53854319e-04
5.08437335e-01, 4.50143456e-01, 4.99999989e-03, -2.44377796e-02, -2.14719564e-01, 3.22544090e-02
4.98485655e-01, 4.50030804e-01, 4.99999989e-03, -2.44359318e-02, -2.11408064e-01, 4.07036245e-02
4.88491625e-01, 4.49879527e-01, 4.99999989e-03, -2.43798140e-02, -2.07928464e-01, 4.88168895e-02
4.78621662e-01, 4.49731529e-01, 4.99999989e-03, -2.42718663e-02, -2.04294458e-01, 5.65908216e-02
4.49564576e-01, 4.68638867e-01, 4.99999989e-03, -2.74938419e-02, -1.92220956e-01, 8.57337937e-02
4.49708879e-01, 4.78546172e-01, 4.99999989e-03, -2.95193028e-02, -1.91328034e-01, 8.98577049e-02
4.49421138e-01, 4.58865196e-01, 4.99999989e-03, -2.55445763e-02, -1.92645609e-01, 8.17007497e-02
