
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ]
5.05044609e-02, 3.50833349e-02, 5.99999970e-04
5.04923873e-02, 3.43921371e-02, 5.99999970e-04
5.05772308e-02, 3.57474685e-02, 5.99999970e-04
5.12001626e-02, 3.56629230e-02, 5.99999970e-04
5.18179312e-02, 3.57514843e-02, 5.99999970e-04
5.18389568e-02, 3.50887626e-02, 5.99999970e-04
5.18038683e-02, 3.43955643e-02, 5.99999970e-04
4.98730764e-02, 3.44514474e-02, 5.99999970e-04
4.97567393e-02, 3.37437913e-02, 5.99999970e-04
5.04432507e-02, 3.36696096e-02, 5.99999970e-04
5.10020815e-02, 3.36222090e-02, 5.99999970e-04
3.33107859e-01, 8.54560137e-02, 5.99999970e-04
3.32996577e-01, 8.59314129e-02, 5.99999970e-04
3.32032770e-01, 8.56341198e-02, 5.99999970e-04
3.32692206e-01, 8.50704163e-02, 5.99999970e-04
3.31609935e-01, 8.48941058e-02, 5.99999970e-04
3.32312912e-01, 8.45580027e-02, 5.99999970e-04
2.91061401e-01, 1.31393746e-02, 5.99999970e-04
2.90808290e-01, 1.37541024e-02, 5.99999970e-04
2.90141791e-01, 1.36216125e-02, 5.99999970e-04
2.90401787e-01, 1.27119049e-02, 5.99999970e-04
2.89354593e-01, 1.34700621e-02, 5.99999970e-04
2.89395869e-01, 1.26445033e-02, 5.99999970e-04
2.90144533e-01, 1.44839836e-02, 5.99999970e-04
2.89352804e-01, 1.43084330e-02, 5.99999970e-04
2.90888131e-01, 1.45103214e-02, 5.99999970e-04
2.91718751e-01, 1.34340562e-02, 5.99999970e-04
2.91346669e-01, 1.38263050e-02, 5.99999970e-04
2.91605562e-01, 1.43336281e-02, 5.99999970e-04
2.92299747e-01, 1.40260141e-02, 5.99999970e-04
2.91698545e-01, 1.27554405e-02, 5.99999970e-04
2.91219026e-01, 1.23089077e-02, 5.99999970e-04
2.92317837e-01, 1.31036518e-02, 5.99999970e-04
4.18040901e-01, 8.98054913e-02, 5.99999970e-04
4.18113559e-01, 8.89034495e-02, 5.99999970e-04
4.19006348e-01, 8.88801739e-02, 5.99999970e-04
4.19041336e-01, 8.96430239e-02, 5.99999970e-04
4.17126060e-01, 8.96442607e-02, 5.99999970e-04
4.17207986e-01, 8.88738036e-02, 5.99999970e-04
4.18351978e-01, 9.05141979e-02, 5.99999970e-04
4.19059664e-01, 9.03986990e-02, 5.99999970e-04
3.98258984e-01, 8.96338448e-02, 5.99999970e-04
3.97267789e-01, 8.97007287e-02, 5.99999970e-04
3.97356451e-01, 8.88739005e-02, 5.99999970e-04
3.98266017e-01, 8.88621509e-02, 5.99999970e-04
3.96344393e-01, 8.96325409e-02, 5.99999970e-04
3.96413445e-01, 8.88532847e-02, 5.99999970e-04
3.97514671e-01, 9.04709399e-02, 5.99999970e-04
3.98285866e-01, 9.04130936e-02, 5.99999970e-04
3.90056491e-01, 8.97245333e-02, 5.99999970e-04
3.90161932e-01, 8.88917074e-02, 5.99999970e-04
3.91034007e-01, 8.88786763e-02, 5.99999970e-04
3.91026169e-01, 8.96455422e-02, 5.99999970e-04
3.89115393e-01, 8.96417722e-02, 5.99999970e-04
3.89214993e-01, 8.88650566e-02, 5.99999970e-04
3.91039848e-01, 9.04131681e-02, 5.99999970e-04
3.90286416e-01, 9.04839933e-02, 5.99999970e-04
3.83783877e-01, 8.96480978e-02, 5.99999970e-04
3.82790476e-01, 8.97957459e-02, 5.99999970e-04
3.82891029e-01, 8.89048502e-02, 5.99999970e-04
3.83754641e-01, 8.88822153e-02, 5.99999970e-04
3.81885588e-01, 8.96457955e-02, 5.99999970e-04
3.81978631e-01, 8.88735056e-02, 5.99999970e-04
3.83067876e-01, 9.05116424e-02, 5.99999970e-04
3.83792758e-01, 9.03990343e-02, 5.99999970e-04
3.69361758e-01, 8.96562263e-02, 5.99999970e-04
3.68293107e-01, 8.98024142e-02, 5.99999970e-04
3.68435115e-01, 8.89081284e-02, 5.99999970e-04
3.69336545e-01, 8.88911560e-02, 5.99999970e-04
3.67423564e-01, 8.96425098e-02, 5.99999970e-04
3.67519945e-01, 8.88708010e-02, 5.99999970e-04
3.69388700e-01, 9.04164165e-02, 5.99999970e-04
3.68643731e-01, 9.05178338e-02, 5.99999970e-04
5.93300238e-02, 5.57299592e-02, 5.99999970e-04
5.96330687e-02, 5.47939539e-02, 5.99999970e-04
6.04783557e-02, 5.49041294e-02, 5.99999970e-04
6.03741221e-02, 5.56821786e-02, 5.99999970e-04
5.84560409e-02, 5.53381033e-02, 5.99999970e-04
5.88584766e-02, 5.46397641e-02, 5.99999970e-04
5.79994582e-02, 5.60007244e-02, 5.99999970e-04
5.86168617e-02, 5.63253276e-02, 5.99999970e-04
5.56667671e-02, 6.05264939e-02, 5.99999970e-04
5.50110377e-02, 6.04626946e-02, 5.99999970e-04
5.52117825e-02, 5.94558381e-02, 5.99999970e-04
5.58518507e-02, 5.98320812e-02, 5.99999970e-04
5.43201678e-02, 6.05252050e-02, 5.99999970e-04
5.43377139e-02, 5.97425140e-02, 5.99999970e-04
5.65585755e-02, 5.84620945e-02, 5.99999970e-04
5.71786091e-02, 5.82626425e-02, 5.99999970e-04
5.72719239e-02, 5.90587780e-02, 5.99999970e-04
5.66497594e-02, 5.91817163e-02, 5.99999970e-04
5.59008010e-02, 5.88446110e-02, 5.99999970e-04
5.61333150e-02, 5.92757128e-02, 5.99999970e-04
5.78149930e-02, 4.18622941e-02, 5.99999970e-04
5.74301593e-02, 4.14807200e-02, 5.99999970e-04
5.79506047e-02, 4.08494398e-02, 5.99999970e-04
5.83311282e-02, 4.17305231e-02, 5.99999970e-04
5.68856783e-02, 4.11624238e-02, 5.99999970e-04
5.70742600e-02, 4.05169614e-02, 5.99999970e-04
5.71919456e-02, 4.21926379e-02, 5.99999970e-04
5.66211455e-02, 4.17701453e-02, 5.99999970e-04
5.77015206e-02, 4.24129218e-02, 5.99999970e-04
5.84254526e-02, 4.25538197e-02, 5.99999970e-04
2.68800557e-01, 4.84953336e-02, 5.99999970e-04
2.68794745e-01, 4.80314009e-02, 5.99999970e-04
2.69306719e-01, 4.77476418e-02, 5.99999970e-04
2.69521922e-01, 4.83482853e-02, 5.99999970e-04
2.68316150e-01, 4.77702655e-02, 5.99999970e-04
2.68817246e-01, 4.73120324e-02, 5.99999970e-04
2.68105924e-01, 4.83906344e-02, 5.99999970e-04
2.75617838e-01, 4.01491001e-02, 5.99999970e-04
2.74915874e-01, 4.02818434e-02, 5.99999970e-04
2.74650365e-01, 3.94260809e-02, 5.99999970e-04
2.75536090e-01, 3.95665392e-02, 5.99999970e-04
2.74057895e-01, 4.03915383e-02, 5.99999970e-04
2.73946255e-01, 3.95773984e-02, 5.99999970e-04
2.75195777e-01, 4.10575606e-02, 5.99999970e-04
2.74314016e-01, 4.11491841e-02, 5.99999970e-04
2.76044965e-01, 4.09049131e-02, 5.99999970e-04
3.01979989e-01, 6.88890293e-02, 5.99999970e-04
3.01463842e-01, 6.85750619e-02, 5.99999970e-04
3.01924646e-01, 6.81926981e-02, 5.99999970e-04
3.02429289e-01, 6.86813965e-02, 5.99999970e-04
3.01365256e-01, 6.92650676e-02, 5.99999970e-04
3.02015036e-01, 6.93378076e-02, 5.99999970e-04
3.02750558e-01, 6.93790168e-02, 5.99999970e-04
2.86785722e-01, 2.53781509e-02, 5.99999970e-04
2.86036938e-01, 2.54919566e-02, 5.99999970e-04
2.87503183e-01, 2.51904130e-02, 5.99999970e-04
5.08932993e-02, 3.28885280e-02, 5.99999970e-04
5.03525585e-02, 3.29990685e-02, 5.99999970e-04
