
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
9.52600911e-02, 5.13458736e-02, 5.99999970e-04, 1.06481924e+01, 3.82700041e-02, -1.14025511e-01
9.42951143e-02, 5.13735414e-02, 5.99999970e-04, 1.12084150e+01, 3.92530784e-02, -1.18411347e-01
9.42672938e-02, 5.03257811e-02, 5.99999970e-04, 1.12736864e+01, 4.49392311e-02, -1.20688580e-01
9.42782983e-02, 4.97028492e-02, 5.99999970e-04, 1.11232862e+01, 4.97251339e-02, -1.20865718e-01
9.53371078e-02, 4.95902486e-02, 5.99999970e-04, 1.05630169e+01, 4.87322360e-02, -1.15699098e-01
9.42889079e-02, 4.87138815e-02, 5.99999970e-04, 1.11303835e+01, 5.46408445e-02, -1.21367306e-01
9.52848122e-02, 4.86792587e-02, 5.99999970e-04, 1.05941133e+01, 5.40185720e-02, -1.16502628e-01
2.84224182e-01, 5.94331063e-02, 5.99999970e-04, 2.10334053e+01, 7.50391781e-02, 1.20237656e-01
2.84002155e-01, 5.86787798e-02, 5.99999970e-04, 2.10472126e+01, 7.79650509e-02, 1.18524037e-01
2.85113007e-01, 5.92634939e-02, 5.99999970e-04, 2.13171158e+01, 7.35955089e-02, 1.19836673e-01
2.85926968e-01, 5.89803755e-02, 5.99999970e-04, 2.16234665e+01, 7.24157989e-02, 1.18807912e-01
2.82275021e-01, 3.29506435e-02, 5.99999970e-04, 2.06235580e+01, 8.29129815e-02, 1.42952530e-02
2.81955153e-01, 3.17630246e-02, 5.99999970e-04, 2.04069729e+01, 7.97933787e-02, 1.25394221e-02
2.82898635e-01, 3.19800861e-02, 5.99999970e-04, 2.05286560e+01, 7.91331604e-02, 1.29189556e-02
2.83023268e-01, 3.26986015e-02, 5.99999970e-04, 2.07033215e+01, 8.08427110e-02, 1.41116399e-02
2.81389266e-01, 3.31079625e-02, 5.99999970e-04, 2.05265923e+01, 8.53065848e-02, 1.44189000e-02
2.77551532e-01, 4.19607908e-02, 5.99999970e-04, 2.06818752e+01, 1.28692806e-01, 4.19197567e-02
2.76660830e-01, 4.20952514e-02, 5.99999970e-04, 2.03870430e+01, 1.32416889e-01, 4.11172621e-02
2.76455522e-01, 4.12467979e-02, 5.99999970e-04, 2.02860126e+01, 1.31665528e-01, 3.76994461e-02
2.77078271e-01, 4.08621617e-02, 5.99999970e-04, 2.04441605e+01, 1.28275573e-01, 3.65145542e-02
2.77879864e-01, 4.08867598e-02, 5.99999970e-04, 2.07929573e+01, 1.24461591e-01, 3.84783782e-02
2.78384000e-01, 4.17618789e-02, 5.99999970e-04, 2.09537792e+01, 1.24927081e-01, 4.25129198e-02
2.75680035e-01, 4.20819037e-02, 5.99999970e-04, 2.00698586e+01, 1.36128798e-01, 3.97135615e-02
2.75744200e-01, 4.09347489e-02, 5.99999970e-04, 2.00308857e+01, 1.34007335e-01, 3.58954519e-02
2.78389424e-01, 3.95738482e-02, 5.99999970e-04, 2.07707539e+01, 1.19573891e-01, 3.36583555e-02
2.77941138e-01, 4.00945432e-02, 5.99999970e-04, 2.07387600e+01, 1.22758225e-01, 3.56028602e-02
2.76803106e-01, 3.93471196e-02, 5.99999970e-04, 2.03629227e+01, 1.24100223e-01, 3.14977095e-02
2.77641863e-01, 3.89986411e-02, 5.99999970e-04, 2.05384483e+01, 1.20455652e-01, 3.07737645e-02
9.03798565e-02, 4.95880842e-02, 5.99999970e-04, 1.32183514e+01, 5.32640591e-02, -1.39000684e-01
8.91968086e-02, 4.95659448e-02, 5.99999970e-04, 1.39840832e+01, 5.39601967e-02, -1.44191653e-01
8.92423093e-02, 4.86801341e-02, 5.99999970e-04, 1.39272642e+01, 5.75639084e-02, -1.44444376e-01
9.01826173e-02, 4.86742891e-02, 5.99999970e-04, 1.33478193e+01, 5.75382560e-02, -1.40436485e-01
